ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
1131	IPI:IPI00015476.1	SLC1A4	ENSP00000234256	NP_003029	P43007;Q53F03;Q9P2X2	OTTHUMP00000159933	5.90E-23	163.01	4	4	4	3	3	12	16	5	-0.76	0.07	-0.11	0.13	0.27
1132	IPI:IPI00015505.7	HPS6	ENSP00000299238	NP_079023	Q86YV9;Q5VV69	OTTHUMP00000020357	6.19E-07	54.43	2	2	2	0	0	1	0	0					
1133	IPI:IPI00015526.3;IPI:IPI00216443.4;IPI:IPI00645334.3	EHMT1;EHMT1;EHMT1	ENSP00000298728;ENSP00000360453;ENSP00000334476;ENSP00000360447	NP_079033	Q9H9B1-1;Q9H9B1-3;Q9H9B1-2;Q5VT56;Q71M33;Q5VT57	OTTHUMP00000022711;OTTHUMP00000022712	1.81E-19	203.46	8	4	8	0	3	10	0	7		-0.62	0.17		-0.15
1134	IPI:IPI00015578.2;IPI:IPI00807440.1;IPI:IPI00807464.1	PALMD;PALMD;PALMD	ENSP00000263174	NP_060204	Q9NP74-1;Q9NP74-2;Q9NP74-3	OTTHUMP00000012464	8.98E-07	64.49	2	2	2	0	0	0	0	0					
1135	IPI:IPI00015602.1;IPI:IPI00793189.1;IPI:IPI00791887.1	TOMM70A	ENSP00000284320	NP_055635	O94826;Q6P0M2	OTTHUMP00000172059	0	1299.4	25	25	25	58	59	75	99	64	-0.04	0.16	-0.04	0	-0.08
1136	IPI:IPI00220839.2;IPI:IPI00015614.3;IPI:IPI00843764.1;IPI:IPI00385250.1	PRSS3;PRSS3;PRSS3;PRSS3	ENSP00000354280;ENSP00000368715;ENSP00000340889	NP_002762	P35030-2;P35030-1;P35030-3;A6NN76;Q5VXV0;Q8N2U3;A8CED1;A8CED3;Q5JT15;Q6ISJ4;Q5JT16;Q7Z5F4	OTTHUMP00000021238;OTTHUMP00000021239;OTTHUMP00000021237	1.09E-12	67.86	2	1	2	0	0	0	0	0					
1138	IPI:IPI00015688.1;IPI:IPI00556267.1	GPC1;-	ENSP00000264039	NP_002072	P35052;Q05C97;Q53EX3;Q53QM4;Q59GI7	OTTHUMP00000164497	0	917.83	21	21	21	36	58	57	71	30	0.09	-0.16	0.17	0.11	0.36
1139	IPI:IPI00015713.4;IPI:IPI00443485.2	CDKAL1;CDKAL1	ENSP00000274695;ENSP00000367873;ENSP00000380397;ENSP00000367889	NP_060244	Q5VV42-1;Q5VV42-2;A8K6S0	OTTHUMP00000016083	1.26E-45	296.56	7	7	7	3	1	12	0	1	-0.56		0.12		
1140	IPI:IPI00383579.2;IPI:IPI00015736.3;IPI:IPI00791004.1	UBE1DC1;UBE1DC1	ENSP00000264991;ENSP00000376839;ENSP00000348565	NP_938143;NP_079094	Q9GZZ9;A6NJL3	OTTHUMP00000172829;OTTHUMP00000172832	5.71E-67	139.29	4	4	4	0	0	1	0	2					
1141	IPI:IPI00167134.3;IPI:IPI00015745.3;IPI:IPI00004471.2	PDLIM3;PDLIM3;PDLIM3	ENSP00000284771;ENSP00000284767;ENSP00000284770	NP_055291	Q53GG5-2;Q53GG5-3;Q53GG5-1		8.64E-08	68.91	2	2	2	0	0	0	0	0					
1142	IPI:IPI00015756.2;IPI:IPI00644648.2;IPI:IPI00470937.2;IPI:IPI00871253.1;IPI:IPI00553030.2;IPI:IPI00643916.1;IPI:IPI00552597.1;IPI:IPI00748326.1;IPI:IPI00642099.2;IPI:IPI00873858.1;IPI:IPI00293849.3;IPI:IPI00555714.2;IPI:IPI00552690.3;IPI:IPI00830140.2;IPI:IPI00641385.1	PTPRK;PTPRK;PTPRK;PTPRK	ENSP00000357188;ENSP00000357193;ENSP00000357209;ENSP00000357196;ENSP00000357210	NP_002835	Q15262-1;Q15262-2;Q59EZ1;Q5TG10;Q5TG11;Q5TG12;Q68DT8;Q86WJ2	OTTHUMP00000017182;OTTHUMP00000017180;OTTHUMP00000017181	2.70E-47	389.59	13	13	13	2	1	2	0	9					-0.6
1143	IPI:IPI00015773.3;IPI:IPI00514949.3;IPI:IPI00514459.1;IPI:IPI00515123.2	COMMD3;COMMD3;COMMD3	ENSP00000366032;ENSP00000365968;ENSP00000365983	NP_036203	Q9UBI1;Q5T8Y9;Q5T8Y8;Q5T8Z0	OTTHUMP00000019286;OTTHUMP00000019288;OTTHUMP00000019287	4.14E-193	439.55	8	8	8	3	3	6	4	4	-0.07	0.16	0.34	0.19	0.34
1144	IPI:IPI00015801.3	CMTM6	ENSP00000205636	NP_060271	Q9NX76;Q6IAC4	OTTHUMP00000161312;OTTHUMP00000170569	1.39E-14	119.33	2	2	2	3	3	4	5	3	0.07	0.13	0.1	0.01	0
1145	IPI:IPI00015806.3;IPI:IPI00411594.1	GTF3C3	ENSP00000263956	NP_036218	Q9Y5Q9-1;Q4ZG48	OTTHUMP00000163622	0	762.67	15	15	15	16	24	26	10	9	0.05	0.04	0.29	-0.26	0.04
1146	IPI:IPI00015808.3	GNL2	ENSP00000362153	NP_037417	Q13823;Q5TGG8	OTTHUMP00000004517	5.33E-208	838.96	18	18	18	37	35	30	49	27	-0.08	0.21	-0.07	-0.17	-0.08
1147	IPI:IPI00015809.1	OSGEP	ENSP00000206542	NP_060277	Q9NPF4	OTTHUMP00000028258	3.57E-41	199.43	5	5	5	1	0	0	0	0					
1148	IPI:IPI00015826.2	ABCB10	ENSP00000355637	NP_036221	Q9NRK6;Q6P1Q8;Q6ZMF8	OTTHUMP00000037475	4.31E-48	398.88	9	6	9	9	6	5	7	3	-0.26	-0.04	-0.03	0.04	-0.41
1149	IPI:IPI00015833.1	CHCHD3	ENSP00000262570	NP_060282	Q9NX63;A4D1N4	OTTHUMP00000025085	0	958.1	15	15	15	28	32	32	44	19	0.02	0.11	0.04	-0.05	0.08
1150	IPI:IPI00015838.3	LYAR	ENSP00000345917	NP_060286	Q9NX58;A8K3Y5	OTTHUMP00000155128	3.01E-207	577.78	13	13	13	25	14	19	33	20	-0.01	0.3	0.11	-0.33	-0.01
1151	IPI:IPI00015842.1	RCN1	ENSP00000054950	NP_002892	Q15293;Q5J7V8		0	873.53	17	17	17	32	32	54	40	37	0.05	0.23	-0.03	0	0.33
1152	IPI:IPI00015856.4;IPI:IPI00658215.1;IPI:IPI00029820.2;IPI:IPI00658188.1;IPI:IPI00072257.1;IPI:IPI00657991.1;IPI:IPI00658014.1;IPI:IPI00333813.3;IPI:IPI00658049.1;IPI:IPI00657933.1	DNPEP;DNPEP;DNPEP;DNPEP;DNPEP;DNPEP;DNPEP	ENSP00000273075;ENSP00000363077;ENSP00000363074;ENSP00000363083;ENSP00000337776	NP_036232	Q9ULA0;Q53SB6;Q9BSS9;Q9HAC6;Q9NV55	OTTHUMP00000064850;OTTHUMP00000064852;OTTHUMP00000064851;OTTHUMP00000064853;OTTHUMP00000064858;OTTHUMP00000064854;OTTHUMP00000064857	2.72E-29	137.18	5	5	5	1	0	0	2	0					
1153	IPI:IPI00015865.6;IPI:IPI00844174.2	ADPRHL2;ADPRHL2	ENSP00000362273;ENSP00000235510	NP_060295	Q9NX46;A6NH85	OTTHUMP00000008926	1.23E-192	321.94	6	6	6	2	0	5	0	0			0.15		
1155	IPI:IPI00847172.1;IPI:IPI00026850.1;IPI:IPI00015880.1	TSPO;TSPO;TSPO	ENSP00000338004;ENSP00000328973	NP_000705	P30536;O76068;Q6ICF9;Q53Y59;Q13850;Q8N167;Q8N730	OTTHUMP00000028891	1.52E-86	199.82	5	5	5	18	28	21	37	31	0.22	-0.03	0.18	0.5	0.19
1156	IPI:IPI00015891.1	PFDN4	ENSP00000360473	NP_002614	Q9NQP4	OTTHUMP00000031316	2.10E-126	332.9	7	7	7	3	7	3	6	6	-0.04	0.1	-0.2	-0.07	0.01
1157	IPI:IPI00015897.2;IPI:IPI00869333.1	CHORDC1	ENSP00000319255	NP_036256	Q6IN49;Q8WVL9;Q9H3D6;Q9NZ93;Q9UHD1		0	707.73	17	17	17	24	1	14	9	1	0.01		-0.04	-0.87	
1158	IPI:IPI00015905.1;IPI:IPI00646511.1;IPI:IPI00645362.1;IPI:IPI00647528.1;IPI:IPI00644896.1	EXOSC2;EXOSC2;EXOSC2;EXOSC2;EXOSC2	ENSP00000361433;ENSP00000361427;ENSP00000361425;ENSP00000361426	NP_055100	Q13868;A3KFL3;A3KFL2;A3KFL5;A2VCR1;A3KFL4;A3KFL1	OTTHUMP00000022370;OTTHUMP00000022374;OTTHUMP00000022372;OTTHUMP00000022371;OTTHUMP00000022373	0	672.9	14	14	14	22	21	15	43	36	-0.16	0.08	0.1	0.01	-0.01
1159	IPI:IPI00015911.1	DLD	ENSP00000205402	NP_000099	P09622	OTTHUMP00000025117	0	1065.15	17	17	17	96	90	96	92	104	0.1	0.27	0.09	-0.25	-0.02
1160	IPI:IPI00015912.1	FAM50B	ENSP00000369625;ENSP00000369627	NP_036267	Q9Y247;Q5T2L6	OTTHUMP00000015970;OTTHUMP00000015971	1.70E-51	189.36	4	2	2	0	0	0	0	0					
1161	IPI:IPI00015920.2;IPI:IPI00217277.1;IPI:IPI00790325.1	SLC25A10;SLC25A10;SLC25A10	ENSP00000345580;ENSP00000328403	NP_036272	Q9UBX3-1;Q9UBX3-2;Q542Z3	OTTHUMP00000181432;OTTHUMP00000181431;OTTHUMP00000181433	0	907.65	16	16	16	55	42	32	58	40	-0.04	-0.3	-0.15	0.29	0.08
1162	IPI:IPI00741295.1;IPI:IPI00015922.2;IPI:IPI00738767.2;IPI:IPI00872763.1	INTS6;INTS6	ENSP00000381187;ENSP00000310260	NP_001035026;NP_036273	Q9UL03-1;A8MV98	OTTHUMP00000018439	7.59E-14	207.48	5	4	5	4	5	7	3	3	-0.1	-0.25	-0.05	-0.17	-0.33
1163	IPI:IPI00015924.1;IPI:IPI00220893.1	TFIP11	ENSP00000263115	NP_001008697;NP_036275	Q9UBB9-1;Q20WL0;Q8N523	OTTHUMP00000028715	4.86E-07	88.6	4	4	4	0	0	2	0	0					
1164	IPI:IPI00015947.5	DNAJB1	ENSP00000254322	NP_006136	P25685;Q6FHS4;Q6FI51	OTTHUMP00000067435;OTTHUMP00000076394	0	1054.75	21	20	21	42	19	46	29	13	-0.08	-0.55	-0.67	-0.22	-0.24
1165	IPI:IPI00015952.1;IPI:IPI00782985.1;IPI:IPI00654814.2	EIF4G2;EIF4G2	ENSP00000340281;ENSP00000379778	NP_001409;NP_001036024	P78344;Q0VH01;Q2TU89;Q49A79;Q59G42;Q2NKW9		5.13E-299	1623.98	38	38	38	74	55	54	55	42	-0.35	-0.04	-0.27	-0.11	-0.17
1166	IPI:IPI00015953.3;IPI:IPI00477179.1	DDX21;DDX21	ENSP00000346120	NP_004719	Q9NR30-1;Q9NR30-2;Q3SWU7;Q8NI92	OTTHUMP00000019713	0	2842.73	54	51	54	259	291	264	437	287	-0.21	0.21	-0.12	-0.34	-0.14
1167	IPI:IPI00015954.1;IPI:IPI00513941.3;IPI:IPI00644667.1	Ge;SAR1A	ENSP00000362335;ENSP00000362336;ENSP00000362338;ENSP00000362339;ENSP00000378471	NP_064535	Q9NR31;Q5SQT9;Q6FID4;Q8NG23;Q5SQU0	OTTHUMP00000019743;OTTHUMP00000019744;OTTHUMP00000019745;OTTHUMP00000019748;OTTHUMP00000019747	5.87E-292	777.94	15	10	15	13	20	22	20	33	0.03	0.19	-0.19	0.15	0.18
1168	IPI:IPI00015955.5;IPI:IPI00644775.1	EXOSC5;EXOSC5	ENSP00000221233	NP_064543	Q9NQT4	OTTHUMP00000068577;OTTHUMP00000077996;OTTHUMP00000077995	0	453.33	8	8	8	4	6	3	19	16	0.11	0.19	3.77	0.19	0.27
1169	IPI:IPI00015956.3;IPI:IPI00434985.1	EXOSC3;EXOSC3	ENSP00000323046;ENSP00000379775	NP_057126;NP_001002269	Q9NQT5;Q5QP85;A8K0K6;Q9NYS3	OTTHUMP00000021392	0	541.3	12	12	12	12	11	9	29	14	0	0	0.23	0.14	0.03
1170	IPI:IPI00015972.1;IPI:IPI00645559.1	Gene_	ENSP00000297564;ENSP00000379316	NP_004365	P09669	OTTHUMP00000096511;OTTHUMP00000178133;OTTHUMP00000178134;OTTHUMP00000178135;OTTHUMP00000178136;OTTHUMP00000178137;OTTHUMP00000178138	5.69E-67	569.66	12	12	12	26	63	35	21	83	0.05	-0.03	0.26	0.12	0.16
1171	IPI:IPI00015973.1;IPI:IPI00556351.1;IPI:IPI00788953.2;IPI:IPI00444820.1;IPI:IPI00747462.1;IPI:IPI00383844.1;IPI:IPI00022133.2	EPB41L2;EPB41L2;EPB41L2	ENSP00000338481;ENSP00000357110;ENSP00000350258;ENSP00000376222	NP_001422	O43491;Q5T4F0;Q6R5J7;Q68DV2;Q59FD8;Q8N4C4	OTTHUMP00000017197	9.39E-209	877.91	24	22	24	9	13	10	14	7	0.18	-0.28	-0.34	0.1	0.45
1172	IPI:IPI00015980.3;IPI:IPI00552988.4;IPI:IPI00553004.2;IPI:IPI00645252.2;IPI:IPI00643880.1;IPI:IPI00642788.1	MPDZ;MPDZ;MPDZ;MPDZ	ENSP00000320006;ENSP00000370410;ENSP00000370403;ENSP00000318809;ENSP00000382786	NP_003820	O75970-2;O75970-1;O75970-3;A6NLC2;Q4LE30	OTTHUMP00000022777;OTTHUMP00000022780;OTTHUMP00000022781;OTTHUMP00000022779	3.55E-24	157.83	4	3	4	0	1	0	0	0					
1173	IPI:IPI00016006.2;IPI:IPI00184477.2	GPHN;GPHN	ENSP00000312771;ENSP00000303019	NP_001019389;NP_065857	Q9NQX3-1;Q9NQX3-2;Q96KU4	OTTHUMP00000028393;OTTHUMP00000183479	1.06E-18	116.89	4	4	4	0	0	1	0	0					
1174	IPI:IPI00016014.1;IPI:IPI00384327.3;IPI:IPI00290583.2	ITM2C;ITM2C;ITM2C	ENSP00000322730;ENSP00000335121;ENSP00000322100	NP_112188;NP_001012532;NP_001012534	Q9NQX7-1;Q9NQX7-2;Q9NQX7-3	OTTHUMP00000164292	4.36E-07	63.87	2	2	2	0	0	0	0	0					
1175	IPI:IPI00016046.1;IPI:IPI00515096.1	Protein MGR2 homolog	ENSP00000338293;ENSP00000363190;ENSP00000363191;ENSP00000380561	NP_542786	P60602;A7M872	OTTHUMP00000030797;OTTHUMP00000062052;OTTHUMP00000062145;OTTHUMP00000196684	9.78E-148	263.74	6	6	6	7	15	1	4	14	0.12	0.01		0.29	0.01
1176	IPI:IPI00016070.3	AGPAT6	ENSP00000289657;ENSP00000380184	NP_848934	Q86UL3;Q2TU73;Q8NDD3;Q9HAM9	OTTHUMP00000177426	7.20E-34	78.57	2	2	2	0	4	0	0	0		-0.06			
1177	IPI:IPI00016074.1;IPI:IPI00642340.1	MPHOSPH6	ENSP00000258169	NP_005783	Q99547;Q53HB4	OTTHUMP00000081208;OTTHUMP00000174980	2.22E-14	153.43	4	4	4	0	3	0	6	8		0.14		0.17	-0.1
1178	IPI:IPI00016077.1	GBAS	ENSP00000313050	NP_001474	O75323;Q53X96	OTTHUMP00000024550;OTTHUMP00000159734	2.89E-38	398.16	10	10	10	21	13	13	23	14	0.25	-0.01	0.25	0.34	0.12
1179	IPI:IPI00016095.1	MTERF	ENSP00000248643	NP_008911	Q99551;A4D1E3;Q53H51	OTTHUMP00000025012;OTTHUMP00000161708	2.92E-07	99.52	4	4	4	0	0	0	0	1					
1180	IPI:IPI00016112.6;IPI:IPI00787655.1;IPI:IPI00791587.1	PXDN;PXDN	ENSP00000252804	NP_036425;XP_001127072	Q92626	OTTHUMP00000066020	0	1384.13	34	34	34	13	34	87	37	44	-0.46	-0.3	0.37	0.16	0.07
1181	IPI:IPI00016179.1	Protein S100-A13	ENSP00000344822;ENSP00000357688;ENSP00000376398;ENSP00000376399;ENSP00000376400	NP_001019381;NP_001019382;NP_001019383;NP_001019384;NP_005970	Q99584	OTTHUMP00000034802	1.26E-39	350.31	8	8	8	19	12	1	9	34	0.15	0.02		0.19	-0.08
1182	IPI:IPI00016207.1	TIMM17A	ENSP00000356256	NP_006326	Q99595;A0PJ74;Q7RU05	OTTHUMP00000033951	1.64E-85	198.2	5	5	5	1	10	10	12	15		0.03	0.17	-0.33	-0.3
1183	IPI:IPI00016249.3;IPI:IPI00554715.3;IPI:IPI00479630.4;IPI:IPI00797887.1	FXR1;FXR1;FXR1	ENSP00000350170;ENSP00000376414;ENSP00000307633;ENSP00000376412	NP_005078;NP_001013456;NP_001013457	P51114-1;P51114-2;P51114-3;A8K9B8	OTTHUMP00000173690;OTTHUMP00000173691;OTTHUMP00000173696;OTTHUMP00000173694	2.55E-195	741.9	17	15	17	51	34	37	80	31	0.09	0.29	-0.12	-0.1	-0.27
1184	IPI:IPI00016250.6	FXR2	ENSP00000250113	NP_004851	P51116;Q86V09	OTTHUMP00000183139	1.60E-259	614.57	15	12	12	11	5	5	8	3	-0.08	0.27	-0.09	-0.03	-0.45
1185	IPI:IPI00016334.2;IPI:IPI00445227.1	MCAM;MCAM	ENSP00000264036;ENSP00000376561	NP_006491	P43121-1;P43121-2;A8K6A6	OTTHUMP00000095835	0	1038.49	23	23	23	31	48	34	66	57	-0.13	-0.27	-0.24	0.27	0
1186	IPI:IPI00016339.4;IPI:IPI00789439.1;IPI:IPI00797838.1	RAB5C;RAB5C	ENSP00000345689;ENSP00000377440;ENSP00000377441	NP_004574;NP_958842	P51148;Q6FH55	OTTHUMP00000181364;OTTHUMP00000181366;OTTHUMP00000181365	0	779.57	10	7	10	61	45	43	61	88	0.11	0.02	-0.73	0.2	0.01
1187	IPI:IPI00016342.1;IPI:IPI00791850.1;IPI:IPI00792578.1;IPI:IPI00795370.1	RAB7A	ENSP00000265062	NP_004628	P51149	OTTHUMP00000172663	0	1304.51	21	21	21	90	153	104	143	170	0.11	0.16	0.17	0.07	-0.15
1188	IPI:IPI00016346.1;IPI:IPI00796241.1	PROSC;PROSC	ENSP00000333551	NP_009129	O94903;A8K520	OTTHUMP00000177353;OTTHUMP00000177354	1.32E-45	172.68	4	4	4	0	0	0	0	0					
1189	IPI:IPI00016371.1;IPI:IPI00215722.1;IPI:IPI00816395.1;IPI:IPI00008115.3;IPI:IPI00179189.7;IPI:IPI00142487.2	ERBB4;ERBB4;ERBB4	ENSP00000342235;ENSP00000260943	NP_005226;NP_001036064	Q15303-1;Q15303-2;Q15303-3;Q53T57;Q4ZG14;Q53QS8;Q53R25;Q53R48;Q580Q7	OTTHUMP00000163968	4.20E-41	200.6	5	1	2	0	0	2	0	0					
1190	IPI:IPI00016372.1;IPI:IPI00014603.1	RAB9A	ENSP00000243325	NP_004242	P51151;A8K390	OTTHUMP00000022936	2.01E-170	350.98	7	7	7	10	20	14	9	18	0.11	0.41	0.01	0.28	0.13
1191	IPI:IPI00016373.3	RAB13	ENSP00000357564	NP_002861	P51153;A6NEJ9;A8K6B5;Q504R6	OTTHUMP00000034758	2.40E-143	378.81	8	6	6	9	0	7	9	0	0.3		0.01	0.46	
1192	IPI:IPI00016381.2;IPI:IPI00219858.6	Gene_Symb;RAB27A	ENSP00000337761;ENSP00000379601;ENSP00000379598	NP_004571;NP_899057;NP_899058;NP_899059	P51159-1;P51159-2;A2RU94;Q6IAS8	OTTHUMP00000162796;OTTHUMP00000176306;OTTHUMP00000176307;OTTHUMP00000176308;OTTHUMP00000176309	1.10E-44	407.86	9	7	9	18	19	11	21	33	0.19	-0.1	-0.03	0.45	0.14
1193	IPI:IPI00016405.1;IPI:IPI00816371.1;IPI:IPI00816523.1	OCIAD1;OCIAD1;OCIAD1	ENSP00000264312;ENSP00000370882;ENSP00000379725	NP_001073308;NP_060300;NP_001073310;NP_001073311;NP_001073309	Q9NX40-1;Q9NX40-2	OTTHUMP00000128288	0	560.37	10	10	10	30	37	31	46	37	-0.04	-0.03	-0.02	0.08	0.1
1194	IPI:IPI00016418.3;IPI:IPI00643943.2	AYTL1;AYTL1	ENSP00000262134	NP_060309	Q7L5N7-1;Q7L5N7-2;A3KBM1	OTTHUMP00000080573;OTTHUMP00000164315;OTTHUMP00000080574	5.18E-40	249.16	8	8	8	1	1	6	7	0			-0.17	-0.07	
1195	IPI:IPI00016443.1	C11orf79	ENSP00000301761	NP_060311	Q9NX18		2.57E-218	483.12	8	8	8	3	35	4	18	36	0.11	0.67	0.76	-0.35	0.25
1196	IPI:IPI00871891.1;IPI:IPI00016447.5	COMMD8;COMMD8	ENSP00000303182;ENSP00000370984	NP_060315	Q9NX08;A8MQB6	OTTHUMP00000125283	4.76E-22	89.26	4	4	4	0	0	0	0	0					
1197	IPI:IPI00016457.4;IPI:IPI00514595.2;IPI:IPI00029140.7;IPI:IPI00791080.1;IPI:IPI00853033.2;IPI:IPI00852692.1;IPI:IPI00852616.1	CRAT;CRAT;CRAT	ENSP00000315013;ENSP00000361614;ENSP00000277468	NP_000746;NP_003994	P43155-1;P43155-2;P43155-3;Q5T952	OTTHUMP00000161683	4.73E-15	201.68	6	6	6	2	1	7	0	2			-0.4		
1198	IPI:IPI00016458.2;IPI:IPI00029239.1	L2HGDH;L2HGDH	ENSP00000267436;ENSP00000261699	NP_079160	Q9H9P8-1;Q9H9P8-2;A8K9B2	OTTHUMP00000028253;OTTHUMP00000178967;OTTHUMP00000178968	3.53E-122	525.15	11	11	11	16	6	16	8	2	-0.1	-0.07	-0.43	-0.04	
1199	IPI:IPI00016478.3;IPI:IPI00828185.1	C1orf109;C1orf109	ENSP00000350704	NP_060320	Q9NX04-1;Q9NX04-2	OTTHUMP00000004518	7.87E-196	138.92	3	3	3	0	2	0	3	2				0.19	
1201	IPI:IPI00016513.5	RAB10	ENSP00000264710	NP_057215	P61026;Q53SX4;Q53T70;Q9UL28	OTTHUMP00000120025	2.32E-254	760.77	15	14	15	27	61	47	43	55	0.1	0.27	0.03	0.05	-0.04
1202	IPI:IPI00016542.5;IPI:IPI00852995.1;IPI:IPI00853041.1	WDR76;WDR76	ENSP00000263795;ENSP00000370645	NP_079184	Q9H967;A0MNP5;Q05CI4	OTTHUMP00000066509;OTTHUMP00000175728;OTTHUMP00000196079	1.20E-21	232.71	6	6	6	6	0	2	3	4	-0.1			0.25	0.33
1203	IPI:IPI00016559.6	THG1L	ENSP00000231198	NP_060342	Q9NWX6;Q9H8R6	OTTHUMP00000160747	2.10E-10	131.08	5	5	5	2	0	0	0	4					0.1
1204	IPI:IPI00016560.3;IPI:IPI00031307.1	ASB6	ENSP00000277458	NP_060343	Q9NWX5;A8K9U2;Q5SZB7;Q6AW82	OTTHUMP00000022342	6.07E-62	233.73	5	5	5	3	0	4	4	0	-0.14		-0.2	-0.52	
1205	IPI:IPI00016568.1;IPI:IPI00738805.1;IPI:IPI00787868.1	AK3L1;AK3L2;LOC645619;-	ENSP00000294419;ENSP00000322175;ENSP00000378743	NP_001002921;NP_001005353;NP_037542;NP_982289;XP_933725;XP_001132080	P27144;Q6IBH4;Q6NXQ5;Q8IUU9;A6NH20	OTTHUMP00000010594	5.09E-123	531.04	12	11	12	19	38	27	41	50	0.06	-0.08	-0.08	-0.1	0.21
1206	IPI:IPI00016572.1;IPI:IPI00745343.1	SNRPG;-	ENSP00000272348;ENSP00000375193	NP_003087	P62308;Q49AN9;Q6IB86;A6NGE5	OTTHUMP00000160076	1.99E-136	407.24	9	9	9	22	44	15	20	47	0.13	-0.11	0.02	0.01	0
1207	IPI:IPI00016580.6;IPI:IPI00843750.1;IPI:IPI00642473.2;IPI:IPI00827925.3;IPI:IPI00641008.1;IPI:IPI00645865.1	DSN1;DSN1;DSN1;DSN1;DSN1;DSN1	ENSP00000362850;ENSP00000362855;ENSP00000362838;ENSP00000362845;ENSP00000362839	NP_079194	Q9H410-1;Q9H410-2;A8K3X3;Q4G1A1;Q5JW54;Q5JW55;Q5JW58;Q5JW53;Q5JW57	OTTHUMP00000030873;OTTHUMP00000030875;OTTHUMP00000030880;OTTHUMP00000030877;OTTHUMP00000030876;OTTHUMP00000030878	7.66E-09	71.87	2	2	2	0	0	1	2	0					
1208	IPI:IPI00016597.3;IPI:IPI00797404.1;IPI:IPI00795971.1;IPI:IPI00798061.1	CLN6;CLN6;CLN6;CLN6	ENSP00000249806	NP_060352	Q9NWW5;A8K560;Q8NCG1	OTTHUMP00000164387;OTTHUMP00000176429;OTTHUMP00000176432;OTTHUMP00000176430;OTTHUMP00000176431	5.80E-99	137.5	3	3	3	1	5	5	3	4		-0.01	0.05	0.09	0.32
1209	IPI:IPI00016605.3;IPI:IPI00514522.1	C1orf123;C1orf123	ENSP00000294360;ENSP00000360535	NP_060357	Q9NWV4;A6NGL7;Q5SW71	OTTHUMP00000010492;OTTHUMP00000035907	9.43E-11	97.2	4	4	4	0	0	0	0	0					
1210	IPI:IPI00016608.1;IPI:IPI00797864.1	TMED2;TMED2	ENSP00000262225	NP_006806	Q15363;Q6FHT8	OTTHUMP00000169713;OTTHUMP00000169714	5.72E-224	390.69	6	6	6	26	31	41	26	56	0.21	0.09	-0.11	0.22	-0.5
1211	IPI:IPI00016610.2	PCBP1	ENSP00000305556	NP_006187	Q15365;Q53SS8	OTTHUMP00000160048	0	1099.77	19	14	19	91	71	77	82	59	-0.02	-0.08	0.18	0.05	-0.04
1212	IPI:IPI00744507.1;IPI:IPI00016613.2;IPI:IPI00741317.1;IPI:IPI00784195.1;IPI:IPI00472911.2	CSNK2A1;CSNK2A1;CSNK2A1;CSNK2A1P;CSNK2A1	ENSP00000217244;ENSP00000339247;ENSP00000371400;ENSP00000383086;ENSP00000354619;ENSP00000383076	NP_001886;NP_808227;NP_808228	P68400;Q5U065;Q5U5J2;Q2I0Y7;Q8NEV1;A2A2H9	OTTHUMP00000029925;OTTHUMP00000029926;OTTHUMP00000159602	0	938.82	22	21	22	55	28	50	56	52	0.03	0.17	0.15	-0.13	0.01
1213	IPI:IPI00016621.7;IPI:IPI00166396.5;IPI:IPI00556111.1	AP2A2	ENSP00000327694	NP_036437	O94973;Q53ET1;Q9UFK5		0	1168.2	28	17	17	8	10	1	6	3	0.12	0.24		0.33	-0.08
1215	IPI:IPI00016634.1	C20orf11	ENSP00000266069	NP_060366	Q9NWU2	OTTHUMP00000043372	8.50E-141	297.21	7	7	7	1	4	0	1	5		0.19			0.04
1216	IPI:IPI00016635.1	ZFP36L1	ENSP00000337386	NP_004917	Q07352	OTTHUMP00000028445	7.06E-30	79.37	2	2	2	0	0	0	0	0					
1217	IPI:IPI00016637.3;IPI:IPI00789342.1;IPI:IPI00792927.1	OXSM;OXSM	ENSP00000280701	NP_060367	Q9NWU1	OTTHUMP00000161043;OTTHUMP00000170486;OTTHUMP00000170487	2.91E-175	180.78	3	3	3	2	1	0	0	0					
1218	IPI:IPI00016639.7;IPI:IPI00013749.3;IPI:IPI00651700.1	PRKCI	ENSP00000295797;ENSP00000376483	NP_002731	P41743	OTTHUMP00000173537;OTTHUMP00000196630	1.22E-33	124.74	4	4	4	1	0	3	4	0			-0.93	0.14	
1219	IPI:IPI00016645.3;IPI:IPI00607655.4;IPI:IPI00783604.2;IPI:IPI00737817.2;IPI:IPI00607878.2	EPHA7;EPHA7;EPHA6;EPHA6	ENSP00000358309;ENSP00000374323;ENSP00000334999	NP_004431;NP_001073917;NP_775926	Q15375-1;Q15375-2;Q9UF33-1;Q9UF33-2;Q6UWM0	OTTHUMP00000016875;OTTHUMP00000171952;OTTHUMP00000171953	7.03E-19	222.82	6	2	3	0	0	0	1	0					
