ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
2488	IPI:IPI00071703.2;IPI:IPI00216419.1;IPI:IPI00172648.1	GFM2;GFM2;GFM2	ENSP00000296805;ENSP00000296804	NP_115756;NP_733792;NP_733781	Q969S9-1;Q969S9-2;A0AR28;Q8N6D8;Q9H6Z1	OTTHUMP00000128233;OTTHUMP00000128234	5.44E-182	644.39	17	17	17	20	11	32	16	12	-0.21	0.25	-0.03	-0.1	-0.08
2489	IPI:IPI00071824.3;IPI:IPI00794761.1;IPI:IPI00872604.1;IPI:IPI00640794.4	CKAP2;CKAP2;CKAP2;CKAP2	ENSP00000367276;ENSP00000258607;ENSP00000367273;ENSP00000381123	NP_001091995;NP_060674	Q8WWK9-1;Q8WWK9-2;Q8WWK9-3;A8MYU4	OTTHUMP00000018455;OTTHUMP00000018457	7.25E-14	132.73	4	4	4	0	1	0	0	0					
2490	IPI:IPI00071826.2;IPI:IPI00645882.1;IPI:IPI00470480.3	FAM54B;FAM54B;FAM54B	ENSP00000337843;ENSP00000363418;ENSP00000363419;ENSP00000363421;ENSP00000363426	NP_001093095;NP_001093096;NP_062457;NP_001093097	A6NCB4;Q9H019;Q9NUI7;Q7Z2S7;Q63HP1	OTTHUMP00000008508;OTTHUMP00000008510;OTTHUMP00000008509;OTTHUMP00000008511	2.33E-16	119.8	4	4	4	0	2	0	0	1					
2491	IPI:IPI00072044.3;IPI:IPI00761072.1;IPI:IPI00061507.2;IPI:IPI00760666.1;IPI:IPI00428714.3	C11orf54;C11orf54;C11orf54;C11orf54	ENSP00000346403;ENSP00000331209	NP_054758	Q9H0W9-1;Q9H0W9-2;Q9H0W9-3;Q9H0W9-4;A8K718;A8K850	OTTHUMP00000095786	8.43E-20	114.63	3	3	3	1	0	0	0	0					
2492	IPI:IPI00072224.7	RINT1	ENSP00000257700	NP_068749	Q6NUQ1	OTTHUMP00000024700	2.19E-13	115.6	3	3	3	1	0	1	1	0					
2494	IPI:IPI00072534.2;IPI:IPI00788016.1	UNC45A	ENSP00000268159	NP_061141	Q9H3U1-1	OTTHUMP00000176683;OTTHUMP00000180563	0	1475.8	28	1	28	43	26	34	40	29	0	-0.24	-0.1	-0.03	-0.03
2495	IPI:IPI00073096.3;IPI:IPI00232492.4	TRIM29;TRIM29	ENSP00000343129	NP_036233	Q14134-1;Q14134-2;Q0P6H7;Q53G41	OTTHUMP00000179137	5.68E-11	183.06	6	6	6	0	0	0	0	0					
2496	IPI:IPI00073602.1	EXOSC6	ENSP00000288063	NP_478126	Q5RKV6	OTTHUMP00000080497;OTTHUMP00000174902	0	553.95	11	11	11	17	10	14	28	19	0.02	0.13	0.44	0.24	-0.06
2497	IPI:IPI00073779.1;IPI:IPI00168292.3;IPI:IPI00789140.1;IPI:IPI00789834.1	MRPS35;MRPS35;MRPS35	ENSP00000081029;ENSP00000324348	NP_068593	P82673-1;P82673-2	OTTHUMP00000167013;OTTHUMP00000167016;OTTHUMP00000167014	3.63E-67	370.7	10	10	10	12	12	22	13	11	-0.16	0.15	-0.08	-0.25	-0.03
2498	IPI:IPI00074010.4;IPI:IPI00783033.2	QTRTD1;QTRTD1	ENSP00000281273	NP_078914	Q9H974;A6NGE9	OTTHUMP00000172292;OTTHUMP00000172293	3.71E-13	106.39	4	2	4	0	0	4	0	0			0.14		
2499	IPI:IPI00074148.4;IPI:IPI00293251.5;IPI:IPI00654639.2;IPI:IPI00015631.3;IPI:IPI00747958.1;IPI:IPI00386233.3	DST;DST;DST	ENSP00000307959;ENSP00000359824;ENSP00000244364;ENSP00000344654	NP_899236;NP_056363	O94833-2;O94833-3;Q5TBT1;Q86T18;Q9HDA7	OTTHUMP00000016653;OTTHUMP00000016655	0	4572.12	124	1	3	1	1	0	3	0				0.11	
2500	IPI:IPI00074604.1;IPI:IPI00218838.1	GLMN;GLMN	ENSP00000359385;ENSP00000378007	NP_444504	Q92990-1;Q92990-2;Q5VVC3	OTTHUMP00000011939	1.21E-91	383.35	9	9	9	2	5	3	2	4		-0.08	0.27		0.14
2501	IPI:IPI00074870.1	DNAJC1	ENSP00000366179	NP_071760	Q96KC8;A4VCI1;Q96NY3	OTTHUMP00000019282	1.21E-29	323.87	9	9	9	8	0	9	5	5	-0.33		0.01	-0.32	-0.03
2502	IPI:IPI00075081.1;IPI:IPI00604399.1;IPI:IPI00604576.1;IPI:IPI00604753.1;IPI:IPI00792112.1	FANCD2;FANCD2;FANCD2	ENSP00000287647;ENSP00000373318;ENSP00000373317	NP_149075;NP_001018125	Q9BXW9-1;Q9BXW9-2;Q9BXW9-3	OTTHUMP00000158853;OTTHUMP00000170184;OTTHUMP00000170183;OTTHUMP00000170185	3.92E-95	322.37	10	10	10	2	0	4	3	2			0.21	-0.13	
2503	IPI:IPI00075248.11;IPI:IPI00794543.1;IPI:IPI00386621.1;IPI:IPI00790488.1;IPI:IPI00219796.4;IPI:IPI00646205.1	Calmodulin;-;CALM2;CALM1;CALM3	ENSP00000272298;ENSP00000291295;ENSP00000349467;ENSP00000375785	NP_001734;NP_005175;NP_008819	P62158;Q96HY3;A8K1M2;Q9BRL5	OTTHUMP00000028284;OTTHUMP00000043938;OTTHUMP00000076186;O;OTTHUMP00000076187	0	1020.76	15	13	15	64	62	48	99	109	0.21	-0.26	0.07	0.24	0.1
2505	IPI:IPI00077853.5;IPI:IPI00218449.4;IPI:IPI00307359.5;IPI:IPI00170891.6;IPI:IPI00843808.1;IPI:IPI00746470.2;IPI:IPI00478893.2;IPI:IPI00556517.1	OSBPL9;OSBPL9;OSBPL9;OSBPL9;OSBPL9;OSBPL9;OSBPL9	ENSP00000360775;ENSP00000360779;ENSP00000337265;ENSP00000360774;ENSP00000354970;ENSP00000337203;ENSP00000336774	NP_078862;NP_683706;NP_683707;NP_683705;NP_683704;NP_683702;NP_683703	Q96SU4-1;Q96SU4-2;Q5SPW4;Q5VSM3;Q5VSM6;Q86YQ3;Q8NB17;Q96SK4;Q5TFC0;Q6IA67;Q8TAS8;Q9BRN2	OTTHUMP00000009942;OTTHUMP00000009940;OTTHUMP00000009941;OTTHUMP00000009943;OTTHUMP00000009985	4.30E-30	340.65	9	8	9	4	3	3	4	7	-0.19	-0.04	-0.25	0.23	-0.13
2506	IPI:IPI00295427.4;IPI:IPI00084571.4;IPI:IPI00794240.1	MRPL39;MRPL39;MRPL39	ENSP00000284967;ENSP00000305682	NP_059142;NP_542984	Q9NYK5-1;Q9NYK5-2	OTTHUMP00000095990;OTTHUMP00000095991;OTTHUMP00000095992	3.98E-162	670.78	15	15	15	44	29	50	40	31	0.03	0.16	0.06	-0.14	0.06
2507	IPI:IPI00411455.1;IPI:IPI00085084.1;IPI:IPI00220019.1;IPI:IPI00872616.1	TREX1;TREX1;ATRIP;TREX1;ATRIP	ENSP00000296443;ENSP00000379035	NP_338599;NP_057465	Q9NSU2-2;Q9NSU2-3;Q9NSU2-1;Q5TZT0;Q6IAN5	OTTHUMP00000171043;OTTHUMP00000164813;OTTHUMP00000171041	1.01E-17	163.89	5	5	5	0	0	1	3	0				0.59	
2509	IPI:IPI00090327.1;IPI:IPI00744591.1	VPS45;-	ENSP00000358126	NP_009190	Q9NRW7;A0AR27;Q53FR8;Q5T4P6	OTTHUMP00000014482	2.12E-165	720.12	18	8	18	12	13	31	18	18	0.06	-0.07	0.07	0.13	-0.19
2510	IPI:IPI00090720.4;IPI:IPI00386916.2	QRSL1;QRSL1	ENSP00000358042;ENSP00000358040	NP_060762	Q9H0R6;Q9NV19;Q5VWJ4;Q9HA60	OTTHUMP00000016923;OTTHUMP00000016922	3.36E-10	98.84	3	3	3	3	2	3	1	1	-0.22		-0.18		
2511	IPI:IPI00093057.6;IPI:IPI00794067.1	CPOX	ENSP00000264193	NP_000088	P36551;A8K275;Q53F08	OTTHUMP00000171990	2.56E-80	461.95	12	12	12	8	12	16	16	11	-0.16	-1.16	0.31	0.01	-0.22
2512	IPI:IPI00514055.1;IPI:IPI00219835.1;IPI:IPI00644936.1;IPI:IPI00871191.1;IPI:IPI00640867.1;IPI:IPI00095891.2;IPI:IPI00646491.2;IPI:IPI00385033.3;IPI:IPI00465380.6;IPI:IPI00030939.4;IPI:IPI00006395.1;IPI:IPI00006762.3;IPI:IPI00788932.1;IPI:IPI00644474.4;IPI:IPI00792774.2;IPI:IPI00329305.2	GNAS;GNAS;GNAS;GNAS;GNAS;GNAS;GNAS;GNAS	ENSP00000360126;ENSP00000265620;ENSP00000265621;ENSP00000304472;ENSP00000360136;ENSP00000360141;ENSP00000360143;ENSP00000307237	NP_000507;NP_536351;NP_001070957;NP_001070956;NP_536350	P63092-1;P63092-2;P63092-3;Q5JWF2-1;Q5JWF2-2;Q14433;Q14455;Q5FWY2;O60726	OTTHUMP00000031740;OTTHUMP00000031742;OTTHUMP00000031756;OTTHUMP00000031743;OTTHUMP00000031727;OTTHUMP00000031735	4.27E-184	837.27	19	19	19	35	33	36	42	40	0.13	-0.1	-0.37	0.09	0.08
2513	IPI:IPI00096066.2;IPI:IPI00155466.4;IPI:IPI00164300.8	SUCLG2;SUCLG2;LOC283398	ENSP00000307432;ENSP00000304218	NP_003839;XP_208658;XP_947551	Q96I99;Q3ZCW5;Q9Y436;A6NCI7	OTTHUMP00000171787;OTTHUMP00000171786	0	1271.83	26	26	26	61	48	59	69	48	0	-0.14	0.08	0.03	0.06
2514	IPI:IPI00220795.4;IPI:IPI00096972.5;IPI:IPI00797257.1;IPI:IPI00788863.1;IPI:IPI00640176.2	EHMT2;EHMT2;EHMT2;EHMT2	ENSP00000229735;ENSP00000364680;ENSP00000372863;ENSP00000259865;ENSP00000364687;ENSP00000372864;ENSP00000364678;ENSP00000382782;ENSP00000382888;ENSP00000379078;ENSP00000382781;ENSP00000382886	NP_079532;NP_006700	Q96KQ7-2;Q96KQ7-1;A2BED6;Q5JP83;A2BED7;Q59FM7;Q5JQ92;A2ABF8;A2ABF9	OTTHUMP00000014603;OTTHUMP00000029264;OTTHUMP00000029689;OTTHUMP00000014601;OTTHUMP00000029262;OTTHUMP00000029694;OTTHUMP00000174666;OTTHUMP00000174668;OTTHUMP00000195762;OTTHUMP00000174667;OTTHUMP00000174669;OTTHUMP00000174737	1.35E-124	242.64	9	7	9	4	5	11	1	4	0.01	-0.72	-0.13		0.02
2516	IPI:IPI00647041.2;IPI:IPI00097495.3;IPI:IPI00478568.3;IPI:IPI00646637.1	TBC1D2;TBC1D2;TBC1D2;TBC1D2	ENSP00000364205;ENSP00000378565;ENSP00000364207;ENSP00000341567;ENSP00000364203	NP_060891	Q9BYX2;Q59EU0;Q5VWZ9;Q8WYT1;Q9H6A2;Q5VWZ8;Q5VX00;Q6IPC7;Q9NSH4;Q7L1K8	OTTHUMP00000021772;OTTHUMP00000021773;OTTHUMP00000021774;OTTHUMP00000021775	1.02E-40	198.5	6	6	6	0	0	1	0	0					
2517	IPI:IPI00098827.1;IPI:IPI00333618.4;IPI:IPI00843974.1	C1orf41;C1orf41	ENSP00000194214;ENSP00000360429;ENSP00000360428	NP_057210	Q9Y547;A6NIR2	OTTHUMP00000010053;OTTHUMP00000010084;OTTHUMP00000010085	1.68E-37	155.06	4	4	4	1	1	3	3	2			-0.46	0.08	
2518	IPI:IPI00098902.4;IPI:IPI00829595.1;IPI:IPI00386497.3	OGDH;-	ENSP00000222673	NP_002532	Q02218;A2VCT3;A2VCT2;A5XEI0	OTTHUMP00000025189	0	2380.81	53	43	53	96	156	113	128	107	0.04	0.13	0.29	-0.26	-0.25
2519	IPI:IPI00745701.1;IPI:IPI00872278.1;IPI:IPI00413835.4;IPI:IPI00873627.1;IPI:IPI00871790.1;IPI:IPI00647000.1;IPI:IPI00873417.1;IPI:IPI00478115.2;IPI:IPI00553058.1;IPI:IPI00099110.2;IPI:IPI00418512.5;IPI:IPI00658218.1;IPI:IPI00642761.3;IPI:IPI00873293.1;IPI:IPI00871206.1;IPI:IPI00412044.4;IPI:IPI00740000.2	DMBT1;DMBT1;DMBT1;-;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;DMBT1;LOC651581	ENSP00000357952;ENSP00000342572;ENSP00000381202;ENSP00000357938;ENSP00000343175;ENSP00000327747;ENSP00000331522;ENSP00000342500;ENSP00000357911;ENSP00000339752;ENSP00000342210;ENSP00000345836;ENSP00000352593;ENSP00000357949;ENSP00000357951;ENSP00000357905;ENSP00000381151;ENSP00000381153;ENSP00000343268	NP_060049;NP_004397;NP_015568;XP_945848	Q9UGM3-3;Q9UGM3-2;Q9UGM3-1;Q9UGM3-4;Q9UGM3-5;A6ND64;A6NDG4;A6NDJ5;A6NDZ5;A6NFE0;A8E4R5;A8MVQ2;Q5JR20;Q5JR22;Q5JR23;Q5JR25;A8MT44	OTTHUMP00000020659;OTTHUMP00000020661;OTTHUMP00000020660;OTTHUMP00000020662;OTTHUMP00000020663;OTTHUMP00000020655;OTTHUMP00000020654;OTTHUMP00000020656;OTTHUMP00000020657;OTTHUMP00000020658	3.92E-19	68.86	2	2	2	0	1	0	0	0					
2520	IPI:IPI00099131.1;IPI:IPI00216361.1	ZC3H7B;ZC3H7B	ENSP00000263243;ENSP00000345793	NP_060060	Q9UGR2-1;Q9UGR2-2;A7YY88	OTTHUMP00000028531	6.30E-24	105.73	2	2	2	4	4	2	5	3	-0.1	0.08		-0.14	-0.05
